nombre_apellido,anho_nacimiento,peliculas,que_hace,premios
Mark Gantt,December 10,"['Soul Mates', 'Un embarazo peligroso', 'Una madre ejemplar', 'Seamlessly She', 'Intricate Vengeance', 'Asesinato en México', 'Donor', 'Suite 7', 'Martine', 'Netherworld']",DirectorWriterProducer,
Corbin Timbrook,June 1958,"['Bail Out', 'Specter', 'Emails from Heaven', 'Stepmom from Hell', 'The Twisters', ""Pregnant by my Sister's Fiancé"", ""Becoming My Ex's Mother-In-Law"", 'Mating of the Twilight Goddess', 'Love, Courage and the Battle of Bushy Run', 'After Divorce, Stripper CEO and I Dominate Hollywood']",ActorProducerDirector,
John Brotherton,"August 21, 1980","['9-1-1', 'Los detectives muertos', 'Chosen Family', ""The Undertaker's Wife"", 'Christmas on Cherry Lane', 'Lights, Camera, Christmas!', 'The Christmas Contest', 'American Horror Stories', 'Madres forzosas', 'Reunión familiar']",ActorProducerSound Department,
Dana Delany,March 13,"['The Union', 'Mayans M.C.', 'The Other Two', 'Tulsa King', 'Troy', 'El huésped americano', 'The Pack Podcast', 'The Visitations', 'The Code', 'Bull']",ActressProducerSoundtrack,"['2001 Nominee Primetime Emmy', '1992 Winner Primetime Emmy', '1991 Nominee Primetime Emmy', '1990 Nominee Primetime Emmy']"
Selton Mello,"December 30, 1972","['O Auto da Compadecida 2', 'O Auto da Compadecida', 'Ainda Estou Aqui', 'Enterre Seus Mortos', 'Sessão de Terapia', 'Nos Tempos do Imperador', 'Túnel de corrupción', 'Treze Dias Longe do Sol', 'Lino', 'O Filme da Minha Vida']",ActorDirectorWriter,"['2018 Winner Golden Precolumbian Circle', '2001 Winner Candango Trophy', '2011 Nominee Gold Hugo', '2018 Nominee Cinema Brazil Grand Prize']"
Ed Lauter,"October 30, 1938","['The Beautiful Ones', 'Blind Pass', 'Espera hasta que se haga de noche', 'Shameless', 'The Office', 'Golpe de efecto', 'The Fitzgerald Family Christmas', 'Inocencia carnal', 'The Artist', 'Taken by Force']",Actor,
Iván Dengyel,"May 10, 1944","['A parkolóban', 'Magyar passió', 'Drága örökösök', 'Családi kör', 'A tanár', 'Csak színház és más semmi', 'Gondolj rám', 'Una vida regalada (Aranyelet)', 'Munkaügyek', 'Ól']",Actor,
Yvonne Reyes,"October 8, 1967","['Amarillo', 'Con Marianne', 'Señoras del (h)AMPA', 'Yerma', 'Santiago Apostol', 'The Mask of Bauta', 'Los pájaros se van con la muerte', 'El secreto de la abuela', 'Lady kaña', 'La verdad de Laura']",ActressCostume and Wardrobe Department,
Péter Benkö,"June 1, 1947","['Fürkész történetei', 'Angyali történetek', 'Családi kör', 'Diplomatavadász', 'Lili', 'Kérnék egy kocsit', 'Családi album', 'Titkos szeretök', 'Kisváros', 'Szomszédok']",Actor,
Péter Blaskó,"June 13, 1948","['Angyali történetek', 'Ök tudják, mi a szerelem', 'Válaszfal', 'Fekete krónika', 'Janus', 'En terapia (Serie de TV)', 'Hacktion', 'Az ember tragédiája', 'Team Building', 'A fehér nyíl']",Actor,
Monique Yates Jr.,"July 24, 1969","['Mariguana', 'The Circuit', 'Trafficked', 'Introducing Jodea', 'Enemy Within', 'Streets of East L.A.', 'Being American', 'Vatos Locos', 'Taken by Force', 'Death of Evil']",ActressStuntsAdditional Crew,
Julissa Bermudez,"September 28, 1983","['The Plus One', 'Hunters', 'Danger One', 'Ringside', 'Sara', 'Rescue Me: Equipo de rescate', 'Harlem Hostel', 'Wisin & Yandel Feat. 50 Cent: Mujeres in the Club', 'Z Rock', 'Royal Pains']",Actress,
Ben Curtis,"November 2, 1980","['Night Fits', 'Primetime: What Would You Do?', 'La maravillosa Sra. Maisel', 'John the Thief', 'Dear Sofia', 'Orange Is the New Black', 'Passaic', 'Beauty Mark', 'Crocodile Boy', 'I Love You... But I Lied']",ActorProducerMusic Department,
Branscombe Richmond,"August 8, 1955","['Blackwater', 'At Her Feet', 'One Million Dolla', 'Spike Smiley: Halloween Night', 'Scare the Freckles Right Off Your Face!', 'Robot Dracula', 'Killer Witches from Outer Space', 'Including Ohana', 'Kangaroo Kids', 'Decade of the Dead']",ActorStuntsProducer,
Lesley Mackie,1951,"[""The Bard's Tale IV: Director's Cut"", ""Bard's Tale IV"", 'The Wicker Tree', 'Take the High Road', 'Screen Two', 'The All New Alexei Sayle Show', 'A Sense of Freedom', 'The Lost Tribe', 'The Anatomist', 'Charles Endell, Esq']",ActressMusic Department,
Angelo Lozada,"December 18, 2019","['Get Some!', 'Ned Rifle', 'My America', 'On Top', 'My America', 'Nick the Doorman', 'Accountable', 'Un Ghost', 'Harlem Hostel', 'Blind Leading the Blind']",ActorWriterDirector,
Bill Murdoch,"September 5, 1941","['Doctor Who: Besieged', 'The Wicker Tree', 'Minds of Glass', 'Dear Green Place', 'Monarch of the Glen', 'Still Game', 'Taggart', 'La última oportunidad', 'Gangs of New York', 'Snoddy']",Actor,
